yr,season,cat_no,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2
1990,Annual,1549,Area,0,1.354,0,0,0,0,0,0,0,0
1990,Annual,1550,Area,0,0.154,0,0,0,0,0,0,0,0
1990,Annual,1551,Area,0,1.803,0,0,0,0,0,0,0,0
1990,Annual,1552,Area,0,3.076,0,0,0,0,0,0,0,0
1990,Annual,1553,Area,0,0.46,0,0,0,0,0,0,0,0
1990,Annual,1554,Area,0,0.344,0,0,0,0,0,0,0,0
1990,Annual,1555,Area,0,0.176,0,0,0,0,0,0,0,0
1990,Annual,1556,Area,0,0.081,0,0,0,0,0,0,0,0
1990,Annual,1557,Area,0,1.038,0,0,0,0,0,0,0,0
1990,Annual,1558,Area,0,0.036,0,0,0,0,0,0,0,0
1990,Annual,1559,Area,0,5.998,0,0,0,0,0,0,0,0
1990,Annual,1560,Area,0,0.127,0,0,0,0,0,0,0,0
1990,Annual,1561,Area,0,0.111,0,0,0,0,0,0,0,0
1990,Annual,1562,Area,0,0.265,0,0,0,0,0,0,0,0
1990,Annual,1563,Area,0,0.105,0,0,0,0,0,0,0,0
1990,Annual,1564,Area,0,0.019,0,0,0,0,0,0,0,0
1990,Annual,1565,Area,0,0.638,0,0,0,0,0,0,0,0
1990,Annual,1566,Area,0,1.939,0,0,0,0,0,0,0,0
1990,Annual,1567,Area,0,0.098,0,0,0,0,0,0,0,0
1990,Annual,1568,Area,0,0.184,0,0,0,0,0,0,0,0
1990,Annual,1569,Area,0,0.015,0,0,0,0,0,0,0,0
1990,Annual,1570,Area,0,0.169,0,0,0,0,0,0,0,0
1990,Annual,1571,Area,0,0.903,0,0,0,0,0,0,0,0
1990,Annual,1572,Area,0,0.271,0,0,0,0,0,0,0,0
1990,Annual,1573,Area,0,0.537,0,0,0,0,0,0,0,0
1990,Annual,1574,Area,0,4.481,0,0,0,0,0,0,0,0
1990,Annual,1575,Area,0,0.056,0,0,0,0,0.0111,0,0,0
1990,Annual,1576,Area,0,0.303,0,0,0,0,0.2424,0,0,0
1990,Annual,1577,Area,0,0.001,0,0,0,0,0,0,0,0
1990,Annual,1578,Area,0.02,0.06,0.4,0,0.15,76.48,0.004,0,0,0
1990,Annual,1579,Area,0.886,0.718,0.86,0.291,2.108,0,0.4863,0.0007,0,658.55
1990,Annual,1580,Area,1.236,1.28,0.41,0.124,11.651,0,0.4643,0.0239,0,2.08
1990,Annual,1590,Area,0.178,0.258,2.301,0.014,0.986,2733.48,0.0524,0.0501,0,0
1990,Annual,1591,Area,0.146,0.211,1.882,0.012,0.807,2407.21,0.0461,0.0441,0,0
1990,Annual,1597,Area,0,0,0,0,0,13548.61,0.6481,0.5723,0,0
1990,Annual,1598,Area,0,0.001,0.001,0,0,0,0,0,0,0
1990,Annual,1600,Area,0,1.857,0,0,0,0,0,0,0,0
1990,Annual,1601,Area,0,0.075,0,0,0,0,0,0,0,0
1990,Annual,1602,Area,0,0.421,0,0,0,0,0,0,0,0
1990,Annual,1618,Area,0,1.237,0,0,0,0,0,0,0,0
1990,Annual,1619,Area,0.897,11.542,0,0,0,0,52.9429,0.0364,0,0
1990,Annual,1620,Area,1.513,19.472,0,0,0,0,24.6595,0.5555,0,0
1990,Annual,1621,Area,4.234,8.175,0,0,0,0,0.6813,0.0042,0,0
1990,Annual,1622,Area,3.157,1.218,0,0,0,0,0.1015,0.0007,0,0
1990,Annual,1623,Area,2.034,0.393,0,0,0,0,0.0327,0.001,0,0
1990,Annual,1624,Area,0.027,0.126,0,0,0,0,0.1698,0.0001,0,0
1990,Annual,1625,Area,0.77,0.743,0,0,0,0,1.4382,0.0009,0,0
1990,Annual,1626,Area,0.175,2.254,0,0,0,0,0.8718,0.0709,0,0
1990,Annual,1627,Area,0.033,0.032,0,0,0,0,0.0373,0.0132,0,0
1990,Annual,1629,Area,0,0.072,0,0,0,0,0,0,0,0
1990,Annual,1630,Area,0,0.008,0,0,0,0,0,0,0,0
1990,Annual,1631,Area,0,0.239,0,0,0,0,0,0,0,0
1990,Annual,1632,Area,0,0.023,0,0,0,0,0,0,0,0
1990,Annual,1633,Area,0,0.235,0,0,0,0,0,0,0,0
1990,Annual,1635,Area,0,0.007,0,0,0,0,0,0,0,0
1990,Annual,1636,Area,0,0.024,0,0,0,0,0,0,0,0
1990,Annual,1637,Area,0,0.004,0,0,0,0,0,0,0,0
1990,Annual,1638,Area,0,0.028,0,0,0,0,0,0,0,0
1990,Annual,1639,Area,0,0.037,0,0,0,0,0,0,0,0
1990,Annual,1646,Area,0.568,1.995,14.133,0.052,4.787,456.15,0.143,0,0,0
1990,Annual,1647,Area,0.128,6.898,1.219,0.101,130.55,130.44,1.225,0.143,0,0
1990,Annual,1648,Area,0.447,15.879,0.083,0.042,50.571,37.88,1.758,0.043,0,0
1990,Annual,1649,Area,0,4.361,0,0,0,0,0,0,0,0
1990,Annual,1650,Area,0,1.691,0,0,0,0,0,0,0,0
1990,Annual,1651,Area,0.124,0.556,1.466,0.012,0.981,102.72,0.041,0,0,0
1990,Annual,1652,Area,0.003,0.217,0.062,0,4.967,5.29,0.044,0.005,0,0
1990,Annual,1653,Area,0,0.017,0,0,0,0,0,0,0,0
1990,Annual,1654,Area,0.353,1.604,2.296,0.016,3.794,152.5,0.36,0,0,0
1990,Annual,1655,Area,0.001,0.255,0.222,0,6.403,12.43,0.046,0.008,0,0
1990,Annual,1656,Area,0,0.16,0,0,0,0,0,0,0,0
1990,Annual,1657,Area,0.001,1.068,0.559,0.015,23.464,32.55,0.177,0.025,0,0
1990,Annual,1658,Area,0.002,0.188,0,0,0.33,0.21,0.0189,0,0,0
